"","step","mining module","ore storage","processing module","refined storage","printing robot","manufacturing module","equipment storage","assembly robot","habitation module","life-support module"
"168",168,20,32,23,28,26,31,38,42,25,41
"169",169,20,32,23,19,26,31,38,42,25,41
"170",170,20,39,23,19,26,31,38,42,25,41
"171",171,20,39,23,19,26,31,38,49,25,41
"172",172,20,39,23,19,20,31,38,49,25,41
"173",173,20,39,23,19,20,26,38,49,25,41
"174",174,20,39,23,19,20,26,38,49,25,44
"175",175,20,39,23,19,41,26,38,49,25,44
"176",176,20,39,23,20,41,26,38,49,25,44
"177",177,20,39,23,20,41,48,38,49,25,44
"178",178,20,39,23,20,41,48,38,49,25,47
"179",179,17,39,23,20,41,48,38,49,25,47
"180",180,17,39,23,20,41,48,40,49,25,47
"181",181,17,39,23,20,41,48,20,49,25,47
"182",22,17,39,23,20,41,48,20,49,25,47
"183",183,17,39,23,20,41,48,28,49,25,47
"184",184,17,39,23,40,41,48,28,49,25,47
"185",185,17,39,23,40,41,48,28,49,25,26
"186",186,17,39,23,40,41,48,22,49,25,26
"187",187,43,39,23,40,41,48,22,49,25,26
"188",188,43,39,23,40,41,48,22,49,44,26
"189",189,43,41,23,40,41,48,22,49,44,26
"190",22,43,41,23,40,41,48,22,49,44,26
"191",191,43,41,23,40,41,25,22,49,44,26
"192",192,43,41,23,40,41,25,22,49,44,26
"193",13,43,41,23,40,41,25,22,49,44,26
"194",194,43,41,23,40,41,38,22,49,44,26
"195",195,43,41,23,40,41,38,22,49,44,23
"196",196,43,41,23,33,41,38,22,49,44,23
"197",197,43,41,23,33,41,38,22,49,44,23
"198",198,47,41,23,33,41,38,22,49,44,23
"199",199,47,41,38,33,41,38,22,49,44,23
"200",200,47,41,38,33,41,38,49,49,44,23
"201",201,47,41,38,33,41,38,49,49,33,23
"202",202,47,41,38,40,41,38,49,49,33,23
"203",203,47,41,38,40,41,38,49,49,33,44
"204",204,47,41,38,45,41,38,49,49,33,44
"205",205,47,41,33,45,41,38,49,49,33,44
"206",206,47,41,33,45,41,47,49,49,33,44
"207",207,47,41,33,45,55,47,49,49,33,44
"208",208,47,41,48,45,55,47,49,49,33,44
"209",209,47,41,48,45,55,47,57,49,33,44
"210",210,47,41,48,45,55,44,57,49,33,44
"211",211,25,41,48,45,55,44,57,49,33,44
"212",212,25,41,48,45,55,44,57,49,28,44
"213",213,25,41,48,45,55,44,31,49,28,44
"214",214,25,41,48,45,55,44,31,45,28,44
"215",215,25,41,48,45,55,44,43,45,28,44
"216",216,25,41,48,45,55,44,43,45,58,44
"217",217,25,41,48,45,55,44,43,28,58,44
"218",218,25,41,48,45,55,44,43,54,58,44
"219",219,15,41,48,45,55,44,43,54,58,44
"220",220,15,41,48,45,55,44,43,54,58,44
"221",221,15,41,48,44,55,44,43,54,58,44
"222",222,15,41,44,44,55,44,43,54,58,44
"223",223,15,41,44,44,55,44,21,54,58,44
"224",224,39,41,44,44,55,44,21,54,58,44
"225",225,39,54,44,44,55,44,21,54,58,44
"226",226,39,54,44,44,55,44,21,48,58,44
"227",227,39,54,44,37,55,44,21,48,58,44
"228",228,39,54,44,37,55,44,21,23,58,44
"229",229,39,31,44,37,55,44,21,23,58,44
"230",230,39,31,44,37,55,44,37,23,58,44
"231",231,39,31,44,37,55,44,51,23,58,44
"232",232,39,31,47,37,55,44,51,23,58,44
"233",233,39,31,47,37,55,44,38,23,58,44
"234",234,39,39,47,37,55,44,38,23,58,44
"235",235,39,39,47,18,55,44,38,23,58,44
"236",15,39,39,47,18,55,44,38,23,58,44
"237",237,39,39,47,18,53,44,38,23,58,44
"238",238,39,39,47,18,53,44,38,23,51,44
"239",239,39,39,47,18,53,44,38,23,70,44
"240",240,39,39,47,18,53,44,38,23,47,44
"241",241,39,39,47,18,50,44,38,23,47,44
"242",242,39,39,47,18,50,44,38,23,47,44
"243",243,39,39,47,18,50,44,46,23,47,44
"244",244,39,24,47,18,50,44,46,23,47,44
"245",245,39,24,47,18,50,44,47,23,47,44
"246",246,39,24,47,18,54,44,47,23,47,44
"247",247,39,24,47,18,54,44,45,23,47,44
"248",248,39,24,47,18,54,30,45,23,47,44
"249",249,39,24,47,18,54,30,45,42,47,44
"250",250,39,31,47,18,54,30,45,42,47,44
"251",251,39,31,47,18,54,30,45,68,47,44
"252",252,39,31,47,18,54,30,45,58,47,44
"253",253,39,31,47,18,54,30,45,59,47,44
"254",254,39,31,47,18,54,44,45,59,47,44
"255",255,43,31,47,18,54,44,45,59,47,44
"256",256,43,31,47,18,54,44,60,59,47,44
"257",257,43,39,47,18,54,44,60,59,47,44
"258",258,43,39,47,18,44,44,60,59,47,44
"259",259,43,39,47,28,44,44,60,59,47,44
"260",260,43,39,47,28,44,44,60,59,63,44
"261",50,43,39,47,28,44,44,60,59,63,44
"262",262,43,39,47,28,44,36,60,59,63,44
"263",263,43,39,47,49,44,36,60,59,63,44
"264",264,43,39,47,49,50,36,60,59,63,44
"265",265,43,39,47,49,50,57,60,59,63,44
"266",266,43,39,47,53,50,57,60,59,63,44
"267",267,43,39,47,53,50,57,60,59,57,44
"268",268,43,39,47,53,50,57,60,59,32,44
"269",269,43,39,47,53,66,57,60,59,32,44
"270",270,43,39,47,53,66,57,60,59,52,44
"271",271,43,39,47,53,66,39,60,59,52,44
"272",272,43,39,47,53,66,39,60,59,70,44
"273",273,43,39,47,53,59,39,60,59,70,44
"274",274,43,39,47,53,59,39,77,59,70,44
"275",275,43,30,47,53,59,39,77,59,70,44
"276",276,43,30,47,43,59,39,77,59,70,44
"277",277,43,30,47,43,52,39,77,59,70,44
"278",278,43,71,47,43,52,39,77,59,70,44
"279",16,43,71,47,43,52,39,77,59,70,44
"280",280,43,71,47,43,36,39,77,59,70,44
"281",17,43,71,47,43,36,39,77,59,70,44
"282",282,43,71,47,49,36,39,77,59,70,44
"283",283,43,71,47,49,36,39,77,55,70,44
"284",284,43,71,47,49,36,39,77,55,28,44
"285",285,43,71,47,49,36,39,77,34,28,44
"286",286,43,71,47,49,39,39,77,34,28,44
"287",287,43,58,47,49,39,39,77,34,28,44
"288",288,67,58,47,49,39,39,77,34,28,44
"289",289,67,58,74,49,39,39,77,34,28,44
"290",290,67,39,74,49,39,39,77,34,28,44
"291",291,67,39,74,33,39,39,77,34,28,44
"292",292,67,48,74,33,39,39,77,34,28,44
"293",293,67,48,74,33,45,39,77,34,28,44
"294",294,67,60,74,33,45,39,77,34,28,44
"295",295,67,60,74,33,45,49,77,34,28,44
"296",19,67,60,74,33,45,49,77,34,28,44
"297",297,67,60,74,33,30,49,77,34,28,44
"298",298,67,60,69,33,30,49,77,34,28,44
"299",299,67,60,69,33,30,40,77,34,28,44
"300",300,32,60,69,33,30,40,77,34,28,44
"301",301,32,60,69,33,30,40,51,34,28,44
"302",302,32,60,69,33,30,40,51,50,28,44
"303",303,32,60,69,33,30,69,51,50,28,44
"304",304,32,60,69,33,30,69,51,61,28,44
"305",305,32,60,69,33,30,69,51,55,28,44
"306",306,32,60,69,33,30,69,51,55,28,28
"307",307,32,70,69,33,30,69,51,55,28,28
"308",308,32,70,69,33,37,69,51,55,28,28
"309",309,32,70,69,33,37,69,51,55,75,28
"310",310,32,70,69,33,37,69,66,55,75,28
"311",311,32,70,69,33,37,83,66,55,75,28
"312",312,32,70,69,33,37,83,53,55,75,28
"313",313,57,70,69,33,37,83,53,55,75,28
"314",314,57,70,69,51,37,83,53,55,75,28
"315",315,57,70,69,51,37,83,53,50,75,28
"316",316,57,70,69,51,37,83,53,83,75,28
"317",317,48,70,69,51,37,83,53,83,75,28
"318",318,48,70,69,51,37,83,82,83,75,28
"319",319,48,70,69,51,37,83,87,83,75,28
"320",320,48,67,69,51,37,83,87,83,75,28
"321",321,48,67,69,51,40,83,87,83,75,28
"322",322,48,67,69,51,40,83,66,83,75,28
"323",323,48,67,69,51,40,46,66,83,75,28
"324",324,48,67,69,51,40,46,50,83,75,28
"325",325,48,67,69,44,40,46,50,83,75,28
"326",326,48,67,69,44,40,46,50,31,75,28
"327",327,48,37,69,44,40,46,50,31,75,28
"328",328,48,37,69,81,40,46,50,31,75,28
"329",329,48,37,69,81,40,46,50,31,75,41
"330",330,48,37,69,81,40,46,50,60,75,41
"331",331,21,37,69,81,40,46,50,60,75,41
"332",332,21,37,69,81,37,46,50,60,75,41
"333",333,21,37,83,81,37,46,50,60,75,41
"334",334,21,37,83,81,37,46,29,60,75,41
"335",335,21,64,83,81,37,46,29,60,75,41
"336",336,21,64,83,81,37,46,29,76,75,41
"337",337,34,64,83,81,37,46,29,76,75,41
"338",338,34,64,83,81,37,46,29,45,75,41
"339",339,34,64,85,81,37,46,29,45,75,41
"340",340,34,64,85,81,37,46,29,45,44,41
"341",341,34,64,85,81,56,46,29,45,44,41
"342",342,34,64,85,81,56,71,29,45,44,41
"343",343,34,64,85,81,56,71,48,45,44,41
"344",344,34,64,40,81,56,71,48,45,44,41
"345",345,34,64,40,81,59,71,48,45,44,41
"346",346,34,64,57,81,59,71,48,45,44,41
"347",347,88,64,57,81,59,71,48,45,44,41
"348",348,88,64,24,81,59,71,48,45,44,41
"349",349,88,64,24,81,59,71,48,45,48,41
"350",51,88,64,24,81,59,71,48,45,48,41
"351",351,88,64,24,81,75,71,48,45,48,41
"352",352,88,64,31,81,75,71,48,45,48,41
"353",353,88,64,31,81,75,40,48,45,48,41
"354",354,88,64,31,93,75,40,48,45,48,41
"355",355,88,64,35,93,75,40,48,45,48,41
"356",356,88,64,35,33,75,40,48,45,48,41
"357",357,88,64,35,33,75,40,48,45,48,98
"358",358,88,64,35,30,75,40,48,45,48,98
"359",359,88,64,35,30,51,40,48,45,48,98
"360",360,88,64,35,30,51,40,66,45,48,98
"361",361,80,64,35,30,51,40,66,45,48,98
"362",362,80,64,33,30,51,40,66,45,48,98
"363",363,80,64,33,30,51,40,36,45,48,98
"364",364,80,64,33,30,38,40,36,45,48,98
"365",365,80,64,33,30,38,40,36,76,48,98
"366",366,80,64,33,30,38,40,36,37,48,98
"367",367,80,64,33,30,38,40,36,55,48,98
"368",368,80,64,41,30,38,40,36,55,48,98
"369",369,80,64,41,91,38,40,36,55,48,98
"370",370,80,86,41,91,38,40,36,55,48,98
"371",371,80,86,41,91,38,40,30,55,48,98
"372",372,80,86,41,80,38,40,30,55,48,98
"373",373,73,86,41,80,38,40,30,55,48,98
"374",374,73,86,41,80,38,40,30,55,51,98
"375",375,73,86,41,80,38,40,45,55,51,98
"376",376,73,86,41,80,48,40,45,55,51,98
"377",377,73,86,41,80,48,40,45,55,60,98
"378",378,73,86,67,80,48,40,45,55,60,98
"379",379,73,86,67,80,48,35,45,55,60,98
"380",380,73,86,67,80,79,35,45,55,60,98
"381",381,73,86,67,80,28,35,45,55,60,98
"382",382,73,86,67,80,28,35,45,49,60,98
"383",383,73,86,67,80,66,35,45,49,60,98
"384",384,73,86,52,80,66,35,45,49,60,98
"385",385,73,86,52,80,66,35,45,49,83,98
"386",386,73,86,52,72,66,35,45,49,83,98
"387",387,73,86,52,72,66,57,45,49,83,98
"388",388,73,86,52,72,66,57,45,41,83,98
"389",389,73,86,52,55,66,57,45,41,83,98
"390",390,73,86,52,59,66,57,45,41,83,98
"391",39,73,86,52,59,66,57,45,41,83,98
"392",392,73,86,52,83,66,57,45,41,83,98
"393",393,73,59,52,83,66,57,45,41,83,98
"394",394,73,59,52,83,66,57,45,41,83,101
"395",39,73,59,52,83,66,57,45,41,83,101
"396",396,73,59,52,83,66,57,62,41,83,101
"397",397,73,59,52,83,66,32,62,41,83,101
"398",398,73,59,52,83,30,32,62,41,83,101
"399",95,73,59,52,83,30,32,62,41,83,101
"400",400,73,59,52,83,30,32,62,41,83,41
"401",401,73,59,52,96,30,32,62,41,83,41
"402",402,73,59,52,96,30,32,62,90,83,41
"403",403,73,59,52,96,30,32,41,90,83,41
"404",56,73,59,52,96,30,32,41,90,83,41
"405",405,73,59,52,96,30,32,41,90,83,84
"406",406,73,59,52,96,30,40,41,90,83,84
"407",407,73,59,52,96,74,40,41,90,83,84
"408",408,73,59,52,96,74,40,41,90,83,88
"409",409,73,59,52,96,52,40,41,90,83,88
"410",410,73,59,52,96,52,40,41,90,50,88
"411",411,73,59,37,96,52,40,41,90,50,88
"412",412,73,59,37,90,52,40,41,90,50,88
"413",413,40,59,37,90,52,40,41,90,50,88
"414",414,40,59,37,90,75,40,41,90,50,88
"415",415,40,59,109,90,75,40,41,90,50,88
"416",416,40,59,109,77,75,40,41,90,50,88
"417",417,40,59,109,77,75,40,41,78,50,88
"418",418,40,59,109,77,75,40,41,78,50,75
"419",419,40,59,109,77,75,40,62,78,50,75
"420",420,40,59,109,77,109,40,62,78,50,75
"421",421,40,59,109,77,109,40,62,113,50,75
"422",422,40,31,109,77,109,40,62,113,50,75
"423",423,40,75,109,77,109,40,62,113,50,75
"424",424,30,75,109,77,109,40,62,113,50,75
"425",100,30,75,109,77,109,40,62,113,50,75
"426",426,30,75,109,77,109,40,62,113,80,75
"427",427,30,75,109,77,70,40,62,113,80,75
"428",428,30,75,84,77,70,40,62,113,80,75
"429",429,100,75,84,77,70,40,62,113,80,75
"430",430,100,75,84,77,70,40,62,113,85,75
"431",431,33,75,84,77,70,40,62,113,85,75
"432",432,33,75,84,94,70,40,62,113,85,75
"433",433,33,75,84,94,70,53,62,113,85,75
"434",434,33,75,80,94,70,53,62,113,85,75
"435",26,33,75,80,94,70,53,62,113,85,75
"436",436,33,37,80,94,70,53,62,113,85,75
"437",437,33,37,80,94,70,53,62,113,85,110
"438",438,33,37,80,66,70,53,62,113,85,110
"439",439,33,37,80,66,70,53,62,113,87,110
"440",440,33,37,80,66,70,53,57,113,87,110
"441",441,37,37,80,66,70,53,57,113,87,110
"442",442,37,37,80,52,70,53,57,113,87,110
"443",443,72,37,80,52,70,53,57,113,87,110
"444",444,72,37,80,52,70,98,57,113,87,110
"445",445,72,37,80,52,87,98,57,113,87,110
"446",446,72,37,80,52,103,98,57,113,87,110
"447",447,63,37,80,52,103,98,57,113,87,110
"448",448,63,37,80,52,103,98,57,113,94,110
"449",74,63,37,80,52,103,98,57,113,94,110
"450",76,63,37,80,52,103,98,57,113,94,110
"451",451,63,37,80,52,103,98,57,113,39,110
"452",452,63,37,80,52,103,98,104,113,39,110
"453",453,35,37,80,52,103,98,104,113,39,110
"454",73,35,37,80,52,103,98,104,113,39,110
"455",455,35,37,63,52,103,98,104,113,39,110
"456",456,35,37,63,52,103,92,104,113,39,110
"457",457,35,37,116,52,103,92,104,113,39,110
"458",458,35,37,116,52,52,92,104,113,39,110
"459",459,35,37,116,52,52,92,104,113,48,110
"460",460,35,37,116,52,52,92,104,113,48,100
"461",461,35,69,116,52,52,92,104,113,48,100
"462",462,35,69,116,52,52,48,104,113,48,100
"463",463,35,69,116,52,52,48,42,113,48,100
"464",464,35,70,116,52,52,48,42,113,48,100
"465",465,35,70,116,52,52,48,109,113,48,100
"466",466,35,70,116,52,52,48,109,113,102,100
"467",467,65,70,116,52,52,48,109,113,102,100
"468",468,65,46,116,52,52,48,109,113,102,100
"469",469,60,46,116,52,52,48,109,113,102,100
"470",470,60,46,116,39,52,48,109,113,102,100
"471",471,35,46,116,39,52,48,109,113,102,100
"472",472,35,46,116,39,52,90,109,113,102,100
"473",473,35,46,54,39,52,90,109,113,102,100
"474",61,35,46,54,39,52,90,109,113,102,100
"475",475,35,46,54,39,52,90,109,82,102,100
"476",98,35,46,54,39,52,90,109,82,102,100
"477",477,35,46,54,39,52,119,109,82,102,100
"478",478,119,46,54,39,52,119,109,82,102,100
"479",479,37,46,54,39,52,119,109,82,102,100
"480",480,37,46,54,39,52,119,78,82,102,100
"481",481,37,46,54,39,52,119,78,82,102,126
"482",482,37,46,113,39,52,119,78,82,102,126
"483",483,37,46,113,39,52,119,107,82,102,126
"484",484,37,46,113,39,52,119,107,85,102,126
"485",485,58,46,113,39,52,119,107,85,102,126
"486",486,58,46,113,39,52,119,107,85,92,126
"487",487,58,30,113,39,52,119,107,85,92,126
"488",488,58,30,113,39,100,119,107,85,92,126
"489",489,58,30,93,39,100,119,107,85,92,126
"490",490,58,30,93,39,100,104,107,85,92,126
"491",491,58,30,93,39,108,104,107,85,92,126
"492",55,58,30,93,39,108,104,107,85,92,126
"493",493,58,30,93,39,108,104,107,47,92,126
"494",494,58,108,93,39,108,104,107,47,92,126
"495",495,58,108,93,39,108,104,107,47,40,126
"496",496,58,108,93,39,108,104,107,66,40,126
"497",497,58,108,71,39,108,104,107,66,40,126
"498",498,58,108,71,39,33,104,107,66,40,126
"499",63,58,108,71,39,33,104,107,66,40,126
"500",500,58,108,71,39,33,104,73,66,40,126
"501",501,114,108,71,39,33,104,73,66,40,126
"502",502,114,108,71,39,33,104,73,66,40,105
"503",503,114,108,71,39,33,100,73,66,40,105
"504",504,114,108,71,39,33,100,73,66,117,105
"505",505,114,108,71,39,114,100,73,66,117,105
"506",506,114,108,71,39,114,100,73,79,117,105
"507",507,114,96,71,39,114,100,73,79,117,105
"508",508,114,96,71,112,114,100,73,79,117,105
"509",509,114,96,71,112,114,100,73,70,117,105
"510",510,114,96,51,112,114,100,73,70,117,105
"511",511,114,96,51,116,114,100,73,70,117,105
"512",512,114,96,51,116,114,100,73,137,117,105
"513",513,114,96,51,116,114,100,102,137,117,105
"514",514,114,96,130,116,114,100,102,137,117,105
"515",515,114,96,130,116,114,100,136,137,117,105
"516",516,114,96,130,116,114,36,136,137,117,105
"517",517,114,96,130,116,114,36,136,59,117,105
"518",518,114,96,130,116,62,36,136,59,117,105
"519",519,114,96,130,116,93,36,136,59,117,105
"520",520,114,96,130,116,93,36,136,59,118,105
"521",521,114,96,130,116,93,36,136,38,118,105
"522",522,114,96,130,44,93,36,136,38,118,105
"523",523,114,96,130,44,93,36,136,91,118,105
"524",524,114,96,130,44,93,59,136,91,118,105
"525",525,114,96,130,78,93,59,136,91,118,105
"526",90,114,96,130,78,93,59,136,91,118,105
"527",527,114,96,130,78,93,102,136,91,118,105
"528",528,114,96,115,78,93,102,136,91,118,105
"529",529,114,96,115,78,127,102,136,91,118,105
"530",93,114,96,115,78,127,102,136,91,118,105
"531",531,68,96,115,78,127,102,136,91,118,105
"532",532,68,43,115,78,127,102,136,91,118,105
"533",533,68,43,115,78,127,102,136,91,68,105
"534",534,68,43,115,78,127,102,136,91,131,105
"535",535,68,43,115,78,127,102,65,91,131,105
"536",536,68,43,115,78,127,102,65,43,131,105
"537",537,68,109,115,78,127,102,65,43,131,105
"538",538,68,83,115,78,127,102,65,43,131,105
"539",539,68,83,115,78,127,102,80,43,131,105
"540",540,68,91,115,78,127,102,80,43,131,105
"541",541,68,91,52,78,127,102,80,43,131,105
"542",542,68,91,40,78,127,102,80,43,131,105
"543",543,68,91,40,78,127,102,80,43,74,105
"544",544,68,91,40,78,127,102,138,43,74,105
"545",545,68,126,40,78,127,102,138,43,74,105
"546",546,68,126,40,78,127,102,138,43,74,69
"547",547,68,126,40,78,69,102,138,43,74,69
"548",548,126,126,40,78,69,102,138,43,74,69
"549",549,126,126,40,78,69,102,107,43,74,69
"550",550,126,126,40,78,69,102,107,43,144,69
"551",551,126,126,40,78,69,53,107,43,144,69
"552",552,126,126,40,78,69,53,54,43,144,69
"553",553,126,126,40,78,69,53,54,43,139,69
"554",554,126,126,40,78,69,77,54,43,139,69
"555",555,126,58,40,78,69,77,54,43,139,69
